job_id,start_time_seconds,end_time_seconds,jct_seconds,jct_formatted,,,,,
id0,38673.7234,38839.82483,166.1014335,02:46.1,densenet100,0.235003501,1,,25.09933287
id1,38846.99895,39083.71322,236.7142681,03:56.7,,0.29958417,2,,56.96376588
id2,39088.97829,39324.37837,235.4000758,03:55.4,,0.296312063,4,,57.61283793
id3,39342.06112,39585.79282,243.7316955,04:03.7,,0.257554187,8,,89.19918356
id4,39592.03858,39811.89577,219.8571815,03:39.9,densenet40,0.337468776,1,,17.37591587
id5,39818.23182,40057.89754,239.6657198,03:59.7,,0.31816797,2,,48.76493812
id6,40069.34617,40338.73045,269.3842804,04:29.4,,0.358855442,4,,54.07101524
id7,40347.17426,40665.87848,318.7042131,05:18.7,,0.368866645,8,,97.38422625
id8,40674.76466,40749.08278,74.31812063,01:14.3,alexnet,0.111998129,1,,7.119243406
id9,40757.34432,40868.9078,111.5634779,01:51.6,,0.122599091,2,,38.0040235
id10,40877.34446,41033.3511,156.006643,02:36.0,,0.124474301,4,,81.32206271
id11,41039.05505,41197.50857,158.4535146,02:38.5,,0.120325932,8,,86.25795568
id12,41206.8053,41406.35867,199.5533676,03:19.6,resnet110,0.303113588,1,,17.68521453
id13,41413.04164,41675.54885,262.5072072,04:22.5,,0.403704034,2,,20.28478688
id14,41685.70645,41951.18975,265.483292,04:25.5,,0.402371644,4,,24.06030539
id15,41965.03164,42278.68983,313.6581874,05:13.7,,0.405025939,8,,70.64262402
id16,42285.78526,42369.66754,83.88228335,01:23.9,resnet44,0.121927129,1,,10.72600579
id17,42378.58908,42512.02389,133.4348093,02:13.4,,0.200765716,2,,12.97537995
id18,42521.74167,42695.85022,174.1085509,02:54.1,,0.156498623,4,,80.20937709
id19,42702.12506,42883.54786,181.4227991,03:01.4,,0.150138336,8,,91.33979732
id20,42891.88504,43035.84411,143.9590693,02:24.0,googlenet,0.217782592,1,,13.28951391
id21,43044.33798,43234.22215,189.8841744,03:09.9,,0.285538406,2,,18.56113055
id22,43243.14016,43465.02722,221.8870529,03:41.9,,0.228217559,4,,84.95651771
id23,43473.18636,43708.01885,234.8324884,03:54.8,,0.238056531,8,,91.99857013
id24,43714.81743,43878.14471,163.3272824,02:43.3,inception3,0.241734638,1,,18.28649966
id25,43887.68533,44087.56084,199.8755125,03:19.9,,0.250907689,2,,49.33089911
id26,44101.242,44301.55647,200.3144685,03:20.3,,0.297535524,4,,21.79315401
id27,44309.50082,44615.19091,305.6900931,05:05.7,,0.39477735,8,,68.82368283
id28,44622.6659,44647.76523,25.09933287,00:25.1,densenet100,,,,
id29,44658.49666,44715.46043,56.96376588,00:57.0,,,,,
id30,44722.11762,44779.73045,57.61283793,00:57.6,,,,,
id31,44796.6325,44885.83169,89.19918356,01:29.2,,,,,
id32,44891.61967,44908.99558,17.37591587,00:17.4,,,,,
id33,44914.45491,44963.21985,48.76493812,00:48.8,,,,,
id34,44969.98941,45024.06042,54.07101524,00:54.1,,,,,
id35,45031.43049,45128.81472,97.38422625,01:37.4,,,,,
id36,45138.31581,45145.43505,7.119243406,00:07.1,,,,,
id37,45149.92192,45187.92594,38.0040235,00:38.0,,,,,
id38,45197.2981,45278.62016,81.32206271,01:21.3,,,,,
id39,45295.07102,45381.32897,86.25795568,01:26.3,,,,,
id40,45390.55141,45408.23662,17.68521453,00:17.7,,,,,
id41,45412.72729,45433.01208,20.28478688,00:20.3,,,,,
id42,45445.26557,45469.32588,24.06030539,00:24.1,,,,,
id43,45480.65307,45551.29569,70.64262402,01:10.6,,,,,
id44,45561.69326,45572.41926,10.72600579,00:10.7,,,,,
id45,45579.0611,45592.03648,12.97537995,00:13.0,,,,,
id46,45601.97712,45682.1865,80.20937709,01:20.2,,,,,
id47,45691.39496,45782.73475,91.33979732,01:31.3,,,,,
id48,45792.4771,45805.76662,13.28951391,00:13.3,,,,,
id49,45814.6318,45833.19293,18.56113055,00:18.6,,,,,
id50,45838.98086,45923.93738,84.95651771,01:25.0,,,,,
id51,45930.59401,46022.59258,91.99857013,01:32.0,,,,,
id52,46029.13859,46047.42509,18.28649966,00:18.3,,,,,
id53,46057.61275,46106.94365,49.33089911,00:49.3,,,,,
id54,46116.01256,46137.80571,21.79315401,00:21.8,,,,,
id55,46154.10341,46222.92709,68.82368283,01:08.8,,,,,