Job ID,Data Set,Model,Sync/Async,Batch Size,Sum of Max TX+RX (B/s),Sum of Max TX+RX (MB/s)
1,cifar10,densenet100_k12,sync,256,133857086,127.656065
2,cifar10,densenet100_k12,sync,512,272726678,260.0924282
3,cifar10,densenet100_k12,sync,1024,526849050,502.4424076
5,cifar10,densenet40_k12,sync,2048,18448078,17.59345818
6,cifar10,densenet40_k12,sync,4096,37014047,35.29934597
7,cifar10,densenet40_k12,sync,8192,74285036,70.84373093
9,cifar10,alexnet,sync,8192,252815181,241.1033449
10,cifar10,alexnet,sync,16384,503355448,480.0371628
11,cifar10,alexnet,sync,32768,1011975164,965.0947227
13,cifar10,resnet110,sync,2048,85897665,81.91839695
14,cifar10,resnet110,sync,4096,172041963,164.0720015
15,cifar10,resnet110,sync,8192,343037299,327.1458616
17,cifar10,resnet44,sync,2048,76191939,72.66229534
18,cifar10,resnet44,sync,4096,152893069,145.8101931
19,cifar10,resnet44,sync,8192,305558768,291.4035492
21,imagenet,googlenet,sync,512,507354752,483.8511963
22,imagenet,googlenet,sync,1024,1014508380,967.5105858
23,imagenet,googlenet,sync,2048,2005909562,1912.98443
25,imagenet,inception3,sync,128,1361351261,1298.285733
26,imagenet,inception3,sync,256,2866341702,2733.556463
27,imagenet,inception3,sync,512,4723505199,4504.685592